0.72756	1	0.0495	3.3182	0.3346	.	2.0253	3	3	3	3	3	3	3	3	3
0.87183	0	-1.8949	0.9135	0.3346	.	-0.5748	4	3	3	3	3	.	4	4	4
0.62175	0	0.654	0.3228	-1.6169	.	0.5211	2	2	.	2	2	2	.	.	.
0.66142	1	-0.7152	0.9387	0.3346	.	0.8327	4	4	4	4	4	4	4	4	4
1.21704	0	-0.9286	-0.2929	0.3346	.	-0.1222	4	3	2	3	3	4	2	3	2
1.4178	0	-1.5942	1.2938	0.3346	.	-0.5872	4	4	4	4	4	4	2	3	3
0.53739	1	-1.0307	0.7038	-1.2612	.	.	4	2	.	.	4	4	.	.	.
1.15179	0	-1.9546	0.0146	0.3346	.	-0.2126	3	4	4	4	3	2	3	4	3
0.8153	1	0.3377	-0.639	0.3346	.	-0.6802	3	3	2	2	2	2	4	3	4
0.729	1	0.0231	0.5941	-1.1402	.	1.9142	1	1	3	.	.	2	2	2	2
1.6072	1	0.2562	0.8903	0.3456	.	1.986	4	4	.	4	.	4	4	4	.
0.62012	0	-1.892	1.2073	-2.9835	.	1.0285	4	.	.	.	.	.	.	.	.
1.26993	0	-0.965	0.6798	-1.5118	.	0.0661	.	3	4	.	3	4	3	3	4
0.66458	0	-0.2573	3.3182	0.3346	.	2.0354	3	3	3	3	3	3	3	3	3
0.69078	0	0.3632	3.3182	0.3346	.	1.8769	4	4	4	4	4	4	4	4	4
1.21253	1	-1.2239	-0.0326	0.3346	.	0.2016	4	4	4	4	3	3	2	3	3
0.7937	1	0.3959	0.8808	0.3346	.	1.0714	4	4	.	2	.	4	4	.	1
0.8153	1	0.6041	-0.3037	0.3346	.	2.0122	4	4	4	4	4	4	4	4	4
0.52909	0	-2.0724	0.4668	-3.1069	.	0.302	2	3	4	4	2	1	1	.	.
0.96985	1	0.435	-0.3037	0.3346	.	0.2392	3	3	3	3	3	3	3	3	3
1.30552	0	-2.3054	0.2308	0.3346	.	0.4471	2	2	3	3	2	3	2	3	2
0.78342	0	0.0625	1.3798	-6.3292	.	0.3778	4	4	4	4	4	4	4	4	4
0.66228	1	-2.6321	0.3503	0.3346	.	0.1833	4	.	.	4	4	4	.	.	.
0.7191	0	0.2078	0.41	0.263	.	0.9631	1	2	3	4	4	4	4	4	4
1.86223	1	-1.9811	1.3186	0.1374	.	-0.9723	3	3	3	3	3	3	3	3	3
0.58749	0	0.492	-1.2189	0.3346	.	0.0273	4	4	4	4	4	4	4	4	4
0.6255	0	0.439	0.2954	0.3346	.	2.0127	1	2	3	4	.	4	4	4	.
0.63145	1	0.606	0.2154	0.3346	.	0.7179	4	4	4	4	4	4	.	.	.
0.65101	1	0.5629	.	.	.	-2.4893	2	2	2	2	2	2	2	2	2
0.55503	1	1.0504	-0.165	0.3346	.	1.8476	4	4	4	4	4	4	4	4	4
0.7937	0	0.6141	0.2098	0.3346	.	-1.6798	4	4	4	4	4	4	4	4	4
0.82871	0	-1.0935	-0.3037	0.3346	.	1.8567	3	3	3	4	3	3	4	4	4
0.81696	0	0.7517	0.6691	0.3346	.	0.0094	3	3	3	4	4	4	4	4	4
0.78948	1	0.357	1.2073	0.3346	.	0.1505	4	4	4	4	4	4	4	4	4
0.52004	1	-0.5017	-0.3037	-2.9835	.	0.3567	4	4	4	4	4	4	3	3	3
0.62126	0	-0.2543	-1.4777	0.3456	.	0.0518	4	4	4	4	4	4	4	4	4
0.96635	0	-0.9502	0.0695	0.3346	.	0.7269	4	4	4	4	4	4	1	3	1
0.71453	1	-1.3175	0.3211	-0.0733	.	-0.8227	4	1	.	.	3	3	.	.	.
0.58013	0	-2.1484	1.2187	0.3346	.	1.8733	4	4	3	4	3	1	2	2	2
1.38538	0	-0.1879	0.4247	0.3346	.	0.5582	2	3	3	3	4	3	1	4	.
