0.72756	4	4	4	.	4	4
0.87183	2	3	2	3	.	2
0.62175	.	3	4	.	.	3
0.66142	.	.	3	3	4	.
1.21704	.	3	2	.	3	.
1.4178	.	3	2	3	2	.
0.53739	1	1	.	.	.	.
1.15179	2	.	2	.	3	3
0.8153	1	3	.	.	.	3
0.729	4	.	4	.	4	4
1.6072	4	4	4	4	.	.
0.62012	2	4	3	4	.	.
1.26993	.	2	.	3	.	4
0.66458	4	4	4	.	4	.
0.69078	4	.	.	4	4	4
1.21253	3	3	.	3	3	.
0.7937	4	3	.	3	4	.
0.8153	4	4	4	.	.	.
0.52909	3	.	2	2	.	4
0.96985	3	.	3	3	3	3
1.30552	2	3	.	.	3	.
0.78342	4	3	.	3	.	.
0.66228	3	.	3	3	.	3
0.7191	4	.	.	3	.	3
1.86223	2	.	2	.	2	.
0.58749	.	2	.	3	3	3
0.6255	4	4	4	4	4	.
0.63145	2	2	3	4	.	.
0.65101	1	1	1	1	.	1
0.55503	.	4	4	4	.	4
0.7937	3	.	.	.	1	1
0.82871	.	4	.	4	4	.
0.81696	3	4	2	3	.	3
0.78948	.	.	4	3	2	.
0.52004	1	4	4	.	3	.
0.62126	2	.	.	3	3	3
0.96635	4	4	2	.	3	.
0.71453	.	1	2	.	3	.
0.58013	4	.	.	4	4	.
1.38538	.	.	4	3	3	3
0.72901	3	3	.	.	2	.
1.44924	2	.	2	.	4	2
0.74693	1	.	1	.	1	1
0.55561	1	1	1	.	.	1
0.81696	1	1	.	.	2	.
0.66458	.	.	3	3	2	.
0.78948	4	4	4	.	.	.
0.59119	.	3	3	3	.	2
0.60207	.	2	3	.	2	3
0.61403	3	3	3	.	.	3
1.25671	.	4	4	4	4	.
0.62724	2	.	.	2	1	2
0.78948	3	3	.	3	.	.
0.78948	3	.	3	3	3	.
0.55561	4	4	.	.	4	4
1.37629	.	4	2	2	.	2
0.78948	.	2	.	3	.	3
0.77623	1	.	.	.	2	3
0.74681	.	3	3	3	3	.
1.17497	.	2	.	.	2	2
0.96294	2	2	2	.	2	.
0.57948	4	4	.	.	4	4
1.63061	3	.	3	3	3	.
1.26993	.	4	4	4	.	4
0.66228	.	.	2	2	2	.
0.57123	1	.	1	.	3	4
0.67251	3	3	.	3	.	.
0.63145	1	.	.	.	.	.
0.60824	.	.	.	3	4	3
0.65852	2	2	2	.	2	.
0.76135	3	.	2	2	2	.
1.52861	4	4	4	.	.	4
0.86289	.	3	.	.	3	3
0.56932	2	2	2	.	2	2
0.70175	3	.	3	3	4	4
0.65082	.	3	3	.	3	.
1.19018	3	3	4	4	.	.
0.56338	.	3	3	3	.	.
1.20414	.	.	.	2	2	3
0.56338	.	2	4	.	3	3
1.70085	3	3	3	.	.	2
1.2051	3	3	3	.	.	3
0.63953	3	2	3	.	3	.
0.74961	3	.	.	4	3	.
1.52861	.	3	3	3	3	.
0.67413	3	2	.	.	.	2
0.55503	3	3	.	3	.	3
0.68627	.	4	3	.	2	2
0.56742	4	.	4	.	1	1
0.52909	3	.	3	3	3	3
0.59119	4	4	4	4	.	.
0.62724	3	3	.	2	.	2
0.57916	1	.	.	3	3	3
0.83283	4	4	4	4	.	.
0.56932	2	.	3	2	.	3
2.50087	2	4	4	4	.	.
0.7191	3	.	3	.	3	3
1.10905	3	3	3	3	.	3
0.78846	3	3	.	3	.	3
1.9397	3	3	3	.	.	3
0.19487	3	3	3	.	.	3
0.16203	3	.	3	.	3	3
0.08966	.	2	.	.	1	2
0.09855	.	3	3	.	2	3
0.13088	.	4	4	4	.	.
0.90719	.	.	3	2	2	2
0.11596	4	.	.	3	2	4
0.51031	.	1	1	.	.	1
0.0809	.	4	4	4	4	.
0.13524	4	4	.	4	4	3
0.73192	3	.	.	3	3	3
0.79007	1	.	.	1	1	.
0.18505	3	3	.	3	.	.
0.13624	.	.	2	1	1	.
0.1214	3	3	3	.	.	3
0.0835	3	2	.	.	3	3
0.71396	3	3	3	3	3	.
0.68331	3	3	.	3	3	3
0.16082	3	3	.	.	2	2
0.75345	.	1	3	3	.	3
0.13839	.	3	.	.	2	2
0.20758	.	.	1	1	4	.
0.86865	1	1	.	1	.	1
0.61448	1	.	.	.	2	1
0.18637	.	4	4	4	.	4
0.70539	3	.	.	.	3	3
0.10725	3	.	3	3	.	3
0.65889	.	.	3	3	3	3
0.11709	.	2	.	.	2	3
0.10655	4	4	.	3	.	.
0.83864	4	.	4	3	.	4
0.10809	4	4	4	.	4	.
0.19708	3	.	.	3	3	.
0.20156	.	.	3	3	.	3
0.27837	4	.	.	3	2	3
0.06731	3	.	3	3	.	3
0.11747	4	.	4	.	4	.
0.08824	3	3	.	.	4	4
0.12229	.	.	4	4	3	3
0.13061	1	3	3	3	3	.
0.58051	.	3	3	.	2	3
0.0835	.	.	3	.	4	4
0.74413	.	.	3	4	4	3
0.83864	4	.	4	1	.	1
0.73527	.	3	.	2	2	3
0.63249	.	4	2	.	.	2
0.68331	.	.	3	.	.	.
0.87002	3	.	2	3	.	2
0.16947	3	3	3	.	2	.
0.10027	3	3	2	2	.	2
0.18765	.	1	3	2	.	3
0.18505	3	3	2	3	.	.
0.08964	3	3	3	.	1	.
0.08194	.	.	3	.	3	3
0.53728	.	.	3	3	3	3
1.06454	.	3	3	.	.	3
0.99689	3	.	.	3	2	.
0.12928	.	4	4	4	.	4
0.7917	.	1	1	1	.	.
0.94218	3	2	.	.	.	4
0.68822	.	.	3	2	3	.
0.59858	1	1	1	1	1	.
0.67472	2	.	2	.	.	2
0.10298	.	3	3	3	3	.
0.88877	2	.	.	.	.	.
0.20171	.	.	.	.	2	.
0.15055	1	.	1	.	1	1
0.89904	.	3	3	.	.	2
0.63249	.	3	.	3	4	4
0.07124	3	.	3	3	.	3
0.18325	.	.	.	2	3	3
0.12229	2	3	.	3	.	3
0.99689	3	4	3	.	.	4
0.08964	4	4	4	.	4	4
0.16466	.	1	1	1	1	1
0.10982	4	4	4	4	.	4
0.08824	.	.	2	3	3	2
0.20195	3	3	3	3	.	3
0.18637	.	4	.	4	.	4
0.13352	3	2	.	3	.	.
0.13655	.	.	1	1	1	.
0.51178	2	.	.	3	2	.
0.56855	2	3	2	3	.	.
0.09559	2	1	3	3	.	3
0.15368	3	.	.	3	3	3
0.13352	.	4	.	4	.	4
0.09077	3	.	2	.	3	2
1.6766	.	3	.	3	.	3
0.11382	.	.	.	.	3	.
0.61931	3	3	.	3	.	3
1.65756	3	3	.	4	.	.
0.62235	2	2	.	.	3	2
1.0619	4	.	.	3	4	3
0.14922	3	3	.	.	3	.
0.80868	3	3	.	3	3	.
0.13168	.	4	4	3	.	3
0.08824	.	.	2	2	2	2
0.10414	1	1	1	1	.	.
0.69857	4	4	1	1	1	.
0.15716	3	3	3	.	.	3
0.49945	4	.	.	.	4	4
0.46448	2	.	.	3	.	3
0.51768	.	.	4	3	.	3
0.87302	.	1	.	1	1	.
0.6971	.	.	4	.	4	4
0.2199	3	.	3	.	2	2
0.528	4	.	2	3	.	2
0.42586	3	3	3	2	.	.
0.70475	.	2	.	.	2	2
0.54509	.	3	.	2	2	2
0.53919	3	3	.	3	.	.
0.48438	4	4	2	3	.	3
0.37894	2	3	.	3	.	3
0.52428	.	3	.	3	3	3
0.3461	.	4	4	.	4	.
0.6102	.	2	2	.	1	1
0.38064	2	2	.	2	2	.
0.11002	3	.	1	1	1	.
0.08558	4	.	.	4	4	4
0.37837	4	4	.	.	.	2
0.21533	2	.	.	3	.	3
0.54477	3	.	3	.	.	3
0.96172	.	1	1	.	.	1
0.22468	.	4	4	.	4	.
0.37901	3	3	4	.	.	.
0.54064	3	3	.	3	3	3
0.60486	4	4	4	.	.	.
0.5235	3	4	.	2	1	.
0.34722	1	1	.	1	1	1
0.6102	3	3	3	.	3	.
0.29443	.	1	3	.	.	2
0.39685	4	.	.	.	4	4
0.37966	3	.	3	3	.	.
0.59198	3	.	.	.	3	3
0.31166	2	.	.	1	1	1
0.43137	2	.	2	.	2	2
0.2348	.	3	.	3	.	2
0.32687	1	.	.	2	2	2
0.14799	3	3	3	3	.	3
0.69625	3	.	3	3	.	3
0.49354	.	.	.	2	2	2
0.34498	4	.	4	4	.	.
0.29367	.	.	3	3	3	3
0.31363	.	2	2	2	2	.
0.14271	2	2	3	.	.	.
0.5428	3	2	2	2	.	.
0.19483	4	.	4	4	.	4
0.56711	2	2	.	2	1	2
0.32714	4	3	3	3	2	.
0.19721	1	.	2	.	2	.
0.2034	4	4	.	.	.	2
0.46535	3	3	.	.	3	3
0.15142	.	.	.	2	1	1
0.51482	.	2	2	.	.	2
0.62662	3	3	3	.	.	.
0.13508	3	.	3	3	.	3
0.2034	3	2	3	2	.	.
0.20322	3	3	.	.	2	.
0.27981	3	.	.	3	3	3
0.3484	.	.	.	.	.	4
0.21164	4	.	3	.	3	3
0.30568	.	.	3	3	3	.
0.17173	3	.	3	.	3	3
0.17264	3	3	3	3	.	3
0.55005	.	4	.	4	3	3
0.26335	3	3	3	3	3	.
0.27562	.	1	.	3	.	3
0.44511	.	3	.	3	2	.
0.42476	1	2	1	.	.	.
0.11329	3	.	.	3	3	.
0.36561	2	.	.	4	4	4
0.1164	4	4	.	.	3	.
0.03733	.	.	3	.	3	3
0.23119	3	2	.	.	.	3
0.30968	.	.	3	3	.	2
0.48686	4	4	.	3	.	3
0.25428	3	3	3	.	3	.
0.09673	.	4	4	.	2	.
0.67557	3	.	3	3	3	.
0.12291	.	.	.	3	2	2
0.43116	4	4	3	3	.	2
0.58065	3	3	.	3	.	3
0.06089	3	3	.	.	.	2
0.39741	3	.	.	.	2	2
0.14803	.	3	3	.	3	3
0.44384	.	2	3	3	.	.
0.40841	.	.	3	3	.	3
0.17607	1	.	1	.	1	1
0.64767	.	3	.	3	3	2
0.27029	4	.	4	4	.	.
0.13474	3	1	.	3	.	3
0.53817	2	1	3	.	3	3
0.28987	2	.	3	.	3	.
0.48221	.	3	2	4	1	2
0.10688	.	3	3	.	3	.
0.24828	4	2	3	.	1	.
0.47659	3	.	.	3	2	.
0.20784	3	.	.	.	2	2
0.37665	.	3	3	3	.	.
0.29657	4	.	4	.	.	4
1.7196	.	.	3	3	4	.
0.61029	3	.	3	3	.	3
0.625	.	2	2	2	.	3
1.44324	3	.	.	3	3	3
0.72783	.	4	.	.	4	4
0.75437	.	2	2	2	2	2
0.64524	.	2	2	2	.	2
0.80891	.	.	.	3	2	3
0.65296	2	.	.	2	2	3
0.75838	.	3	3	.	3	.
0.76741	4	.	.	.	3	3
0.9391	3	2	3	.	.	.
0.76479	4	4	.	.	2	2
0.63279	.	4	4	.	3	3
0.53085	.	.	3	3	.	3
0.74314	3	3	3	.	.	.
0.60162	3	3	3	.	.	3
0.72883	3	.	3	3	3	.
0.78143	.	.	.	3	3	3
0.76295	.	4	3	.	3	3
0.45629	.	.	3	3	.	3
0.89058	1	3	.	3	.	.
0.77808	.	3	.	4	.	3
0.96662	3	.	2	3	.	2
1.41676	4	.	.	4	4	.
0.65833	3	4	4	.	3	3
0.92932	3	4	.	3	2	.
0.625	3	3	.	3	.	2
0.60105	.	3	3	3	.	.
0.65233	1	2	2	.	.	3
0.48296	3	3	.	3	.	3
0.79227	2	.	2	3	.	2
0.70725	2	3	2	.	3	.
0.63802	3	3	.	.	.	3
0.89873	4	.	4	.	.	4
0.80601	3	.	3	3	2	.
0.87319	3	4	4	4	.	.
0.79106	.	4	4	.	4	4
0.82942	4	4	.	4	.	.
0.63558	.	4	4	.	4	4
0.79227	4	4	3	.	.	4
0.92383	3	.	3	3	.	.
0.70253	3	.	4	4	.	4
0.69493	3	3	.	.	1	3
0.89873	.	4	4	4	.	.
0.64549	.	1	.	.	1	1
0.69212	.	3	3	3	3	.
0.64144	.	.	1	2	2	2
0.80658	.	3	3	4	.	4
0.74267	3	.	3	4	3	.
0.75506	3	.	3	3	3	3
1.24825	.	.	4	3	4	.
1.00995	1	3	.	.	3	.
0.846	.	4	.	.	4	4
0.55066	3	3	.	.	.	3
0.70289	.	3	.	3	4	3
0.5687	3	.	.	3	3	.
0.74401	3	.	.	3	3	3
0.91134	.	4	4	4	.	.
0.47135	.	3	.	3	1	.
0.61965	.	3	.	.	4	3
0.66517	3	3	3	.	.	.
1.00975	3	.	.	3	.	3
0.59483	1	1	.	.	1	1
1.65893	.	3	.	3	3	3
0.79008	2	.	.	3	2	2
0.49663	.	1	.	1	1	1
0.48592	.	4	.	4	3	3
0.6343	2	2	.	.	2	2
0.69694	3	.	3	4	4	.
0.62489	.	.	3	4	.	3
0.61029	3	3	2	3	.	.
0.7909	4	.	3	3	.	2
0.47368	2	.	3	.	2	.
0.71668	3	.	4	.	.	2
0.59483	3	3	3	.	.	.
0.79911	4	4	4	.	.	4
0.70896	3	2	3	.	.	3
0.54954	2	1	.	3	2	1
0.66517	.	4	4	4	4	.
0.74786	4	.	.	4	.	4
0.77668	1	3	1	1	1	.
0.71991	3	.	3	.	3	2
0.70189	4	.	4	2	2	3
