0.72756	5	5	5	5	5	5	5	5	5	5
0.87183	3	3	3	4	4	4	4	4	4	4
0.62175	.	3	3	.	3	.	3	3	.	.
0.66142	2	4	4	4	4	4	4	4	5	1
1.21704	2	2	2	2	3	.	2	2	2	1
1.4178	4	3	5	5	4	3	5	5	4	2
0.53739	.	2	5	.	.	3	.	5	1	5
1.15179	2	3	2	2	3	3	2	3	2	3
0.8153	3	1	1	1	1	1	1	3	3	1
0.729	1	5	5	5	3	1	4	3	4	1
1.6072	3	.	4	4	4	3	4	4	3	4
0.62012	4	4	4	4	4	4	4	4	4	4
1.26993	4	3	4	3	3	.	4	3	3	4
0.66458	5	5	5	5	5	5	5	5	5	5
0.69078	5	5	5	5	5	5	5	5	5	5
1.21253	2	2	5	2	2	2	2	2	2	3
0.7937	4	3	2	5	2	3	5	4	5	4
0.8153	2	2	2	2	2	2	2	2	2	2
0.52909	4	2	4	3	4	2	3	4	4	1
0.96985	2	2	2	2	2	2	2	2	2	2
1.30552	1	2	4	2	4	4	3	3	3	1
0.78342	4	4	4	5	4	4	4	4	4	5
0.66228	3	3	3	3	3	3	3	3	3	.
0.7191	2	2	2	3	3	4	5	4	3	2
1.86223	4	5	4	4	4	4	4	4	4	.
0.58749	3	1	1	1	1	1	1	1	1	1
0.6255	1	2	3	4	5	1	2	3	4	5
0.63145	1	2	2	3	4	3	4	3	2	4
0.65101	.	.	4	.	.	.	2	.	.	.
0.55503	2	4	2	2	2	2	2	2	2	2
0.7937	3	1	3	3	3	3	3	3	3	3
0.82871	2	2	2	2	2	2	2	2	2	2
0.81696	2	2	3	.	4	3	4	4	4	5
0.78948	4	4	4	4	4	4	4	4	4	4
0.52004	2	2	2	2	2	2	2	2	2	2
0.62126	2	1	1	1	1	1	1	1	1	1
0.96635	2	4	3	2	2	2	3	3	3	1
0.71453	.	3	3	3	3	4	2	3	3	.
0.58013	1	3	5	5	5	4	3	5	4	5
1.38538	4	3	3	3	4	4	2	4	1	3
0.72901	1	2	3	3	3	3	3	3	3	3
1.44924	3	.	5	2	3	.	2	2	2	2
0.74693	.	.	3	.	.	.	.	.	.	.
0.55561	4	4	4	4	4	4	4	4	4	4
0.81696	1	1	1	1	1	1	1	1	2	1
0.66458	2	2	2	2	2	2	2	3	4	4
0.78948	4	4	5	4	4	3	5	5	5	2
0.59119	4	.	3	3	.	4	3	4	3	4
0.60207	1	1	1	1	1	1	1	1	1	1
0.61403	3	3	3	3	3	3	3	3	3	3
1.25671	3	3	3	3	3	3	3	3	5	.
0.62724	2	2	2	3	2	3	2	3	2	.
0.78948	2	2	3	3	.	.	2	3	3	4
0.78948	3	3	3	3	3	3	3	3	3	3
0.55561	4	4	4	4	4	4	4	4	4	4
1.37629	3	3	3	1	1	1	1	1	2	1
0.78948	3	4	4	1	2	3	3	3	3	1
0.77623	4	4	4	3	3	3	3	5	5	4
0.74681	1	2	.	3	2	.	3	.	4	4
1.17497	2	2	2	3	2	2	2	2	3	4
0.96294	4	4	4	4	4	4	4	4	4	4
0.57948	4	4	4	4	4	4	4	4	4	4
