0.72756	3	3	3	3	3	3	3	3	3
0.87183	4	3	3	3	3	.	4	4	4
0.62175	2	2	.	2	2	2	.	.	.
0.66142	4	4	4	4	4	4	4	4	4
1.21704	4	3	2	3	3	4	2	3	2
1.4178	4	4	4	4	4	4	2	3	3
0.53739	4	2	.	.	4	4	.	.	.
1.15179	3	4	4	4	3	2	3	4	3
0.8153	3	3	2	2	2	2	4	3	4
0.729	1	1	3	.	.	2	2	2	2
1.6072	4	4	.	4	.	4	4	4	.
0.62012	4	.	.	.	.	.	.	.	.
1.26993	.	3	4	.	3	4	3	3	4
0.66458	3	3	3	3	3	3	3	3	3
0.69078	4	4	4	4	4	4	4	4	4
1.21253	4	4	4	4	3	3	2	3	3
0.7937	4	4	.	2	.	4	4	.	1
0.8153	4	4	4	4	4	4	4	4	4
0.52909	2	3	4	4	2	1	1	.	.
0.96985	3	3	3	3	3	3	3	3	3
1.30552	2	2	3	3	2	3	2	3	2
0.78342	4	4	4	4	4	4	4	4	4
0.66228	4	.	.	4	4	4	.	.	.
0.7191	1	2	3	4	4	4	4	4	4
1.86223	3	3	3	3	3	3	3	3	3
0.58749	4	4	4	4	4	4	4	4	4
0.6255	1	2	3	4	.	4	4	4	.
0.63145	4	4	4	4	4	4	.	.	.
0.65101	2	2	2	2	2	2	2	2	2
0.55503	4	4	4	4	4	4	4	4	4
0.7937	4	4	4	4	4	4	4	4	4
0.82871	3	3	3	4	3	3	4	4	4
0.81696	3	3	3	4	4	4	4	4	4
0.78948	4	4	4	4	4	4	4	4	4
0.52004	4	4	4	4	4	4	3	3	3
0.62126	4	4	4	4	4	4	4	4	4
0.96635	4	4	4	4	4	4	1	3	1
0.71453	4	1	.	.	3	3	.	.	.
0.58013	4	4	3	4	3	1	2	2	2
1.38538	2	3	3	3	4	3	1	4	.
0.72901	2	4	2	.	3	1	2	3	.
1.44924	4	3	3	3	4	3	4	4	4
0.74693	4	.	.	.	.	.	.	.	.
0.55561	4	4	4	4	4	4	4	4	4
0.81696	3	3	3	3	3	3	3	3	3
0.66458	3	3	3	3	3	3	3	3	3
0.78948	4	4	3	4	4	4	4	4	4
0.59119	4	4	4	4	4	4	4	4	4
0.60207	2	3	3	4	4	3	3	3	3
0.61403	3	3	3	3	3	3	3	3	3
1.25671	.	2	2	.	.	.	4	4	4
0.62724	2	2	2	1	2	2	2	2	2
0.78948	2	2	2	2	2	2	2	2	2
0.78948	4	4	4	4	4	4	4	4	4
0.55561	4	4	4	4	4	4	4	4	4
1.37629	4	4	4	4	4	4	4	4	1
0.78948	4	3	3	3	4	4	3	3	2
0.77623	3	4	3	3	3	4	4	3	3
0.74681	2	2	3	2	3	3	2	2	2
1.17497	3	3	3	3	3	2	3	3	3
0.96294	3	3	3	3	3	3	3	3	3
0.57948	4	4	4	4	4	4	4	4	4
1.63061	3	3	3	3	3	3	3	3	3
1.26993	4	4	4	4	4	4	4	4	4
0.66228	3	2	4	2	3	4	3	3	2
0.57123	3	3	3	3	3	3	3	3	3
0.67251	2	2	2	2	2	2	2	2	2
0.63145	.	.	1	.	.	.	.	.	.
0.60824	4	.	3	4	4	4	4	4	4
0.65852	3	2	2	2	3	2	3	3	3
0.76135	3	2	3	4	4	4	4	4	4
1.52861	.	.	.	.	.	.	.	4	.
0.86289	4	4	4	4	4	4	4	4	4
0.56932	4	4	4	3	4	4	3	4	4
0.70175	4	4	4	4	4	4	4	4	4
0.65082	4	4	4	4	4	4	4	4	4
1.19018	3	4	3	4	3	3	3	3	2
0.56338	4	4	3	3	3	3	4	.	4
1.20414	1	1	1	2	1	2	1	1	2
0.56338	2	.	2	2	2	1	1	2	2
