0.72756	3	.	3	3	3	3	3
0.87183	4	4	4	4	4	3	4
0.62175	4	4	4	4	4	4	4
0.66142	3	2	3	5	4	3	4
1.21704	5	6	6	6	6	5	5
1.4178	1	3	3	2	2	2	2
0.53739	.	.	4	5	.	.	.
1.15179	3	3	3	4	3	4	4
0.8153	5	5	6	5	1	1	1
0.729	2	2	3	2	2	2	1
1.6072	4	5	5	4	5	4	5
0.62012	1	5	5	1	5	2	2
1.26993	3	3	3	3	3	3	3
0.66458	4	4	4	4	4	4	4
0.69078	6	6	6	6	6	6	6
1.21253	3	2	2	2	2	2	2
0.7937	3	2	1	2	3	4	3
0.8153	3	3	3	3	3	3	3
0.52909	1	1	2	1	1	3	3
0.96985	3	3	3	3	3	3	3
1.30552	3	4	4	3	3	3	1
0.78342	6	6	6	6	5	5	5
0.66228	5	5	5	5	5	5	5
0.7191	1	2	1	1	1	3	6
1.86223	3	3	3	3	3	3	3
0.58749	3	3	3	3	3	3	3
0.6255	1	2	3	4	5	6	5
0.63145	5	5	5	4	4	4	4
0.65101	1	1	1	1	1	1	1
0.55503	2	2	2	2	2	2	2
0.7937	6	4	3	3	3	4	3
0.82871	4	4	4	4	4	4	4
0.81696	3	4	5	4	5	5	4
0.78948	3	3	3	3	3	3	3
0.52004	3	2	2	2	3	2	3
0.62126	3	.	2	2	2	2	2
0.96635	2	1	1	1	2	3	1
0.71453	2	.	2	.	6	.	.
0.58013	3	2	2	2	1	3	3
1.38538	1	3	3	4	4	5	5
0.72901	2	3	3	4	4	4	5
1.44924	2	2	2	3	1	3	3
0.74693	.	3	.	.	.	.	.
0.55561	2	2	2	2	2	2	2
0.81696	2	3	3	3	3	3	3
0.66458	4	3	2	3	4	4	4
0.78948	3	6	1	1	1	1	1
0.59119	5	4	4	4	4	4	4
0.60207	4	4	4	4	4	4	4
0.61403	3	3	3	3	3	3	3
1.25671	2	.	3	5	4	4	4
0.62724	1	2	1	2	1	2	1
0.78948	1	2	2	3	3	4	5
0.78948	4	4	4	4	4	4	4
0.55561	2	2	2	2	2	2	2
1.37629	3	2	2	1	1	1	1
0.78948	6	6	6	6	6	2	3
0.77623	4	4	4	5	2	3	4
0.74681	4	4	4	3	5	5	5
1.17497	3	3	3	3	3	3	3
0.96294	4	4	4	4	4	4	4
0.57948	5	5	5	5	5	5	5
1.63061	4	4	4	3	3	3	3
1.26993	1	1	4	2	3	4	2
0.66228	6	6	6	6	6	6	6
0.57123	1	1	1	1	1	1	1
0.67251	5	6	6	1	6	6	6
0.63145	.	.	.	.	5	.	.
0.60824	4	4	3	4	4	.	4
0.65852	1	1	1	1	1	3	1
0.76135	3	5	3	.	5	5	5
1.52861	6	6	6	6	6	6	6
0.86289	3	3	3	3	3	3	3
0.56932	6	6	6	6	6	6	1
0.70175	3	3	3	3	3	3	3
0.65082	3	3	1	1	1	2	1
1.19018	3	6	6	4	5	6	3
0.56338	3	3	4	3	3	3	3
1.20414	1	1	1	1	1	1	1
0.56338	3	3	3	3	2	1	1
1.70085	3	3	3	3	3	3	3
1.2051	3	4	4	4	4	4	4
0.63953	4	3	4	4	4	4	4
0.74961	4	4	4	4	4	4	4
1.52861	3	3	3	3	3	3	3
0.67413	4	5	6	.	2	2	.
0.55503	2	2	2	2	2	2	2
0.68627	1	2	3	3	4	5	6
0.56742	4	3	3	2	5	5	4
0.52909	1	2	2	2	2	2	2
0.59119	2	2	2	2	2	2	2
0.62724	3	3	2	6	6	4	5
0.57916	4	4	5	5	5	5	6
0.83283	2	4	2	6	5	4	1
0.56932	4	3	4	3	4	3	4
2.50087	6	3	.	5	5	6	.
0.7191	1	3	1	1	1	1	3
1.10905	2	1	1	2	1	2	1
0.78846	4	4	4	4	4	4	4
1.9397	6	3	6	1	3	3	3
0.19487	1	3	3	1	1	1	1
0.16203	5	6	4	2	2	2	1
0.08966	6	5	6	4	5	6	5
0.09855	1	3	4	3	4	3	4
0.13088	6	6	6	6	6	6	6
0.90719	3	4	4	.	3	2	1
0.11596	4	4	4	3	3	4	3
0.51031	5	5	5	5	5	5	5
0.0809	5	5	5	5	5	5	5
0.13524	3	3	3	3	4	3	3
0.73192	1	5	5	5	2	2	2
0.79007	6	3	3	3	3	3	3
0.18505	2	3	2	2	3	2	2
0.13624	1	6	4	2	3	2	3
0.1214	4	4	4	1	4	4	1
0.0835	2	3	2	2	2	2	2
0.71396	2	2	2	2	2	2	2
0.68331	4	4	4	4	4	4	4
0.16082	2	4	3	2	1	1	1
0.75345	4	4	4	4	4	4	4
0.13839	3	3	3	3	3	3	3
0.20758	2	3	3	2	1	3	2
0.86865	4	4	4	1	4	1	4
0.61448	1	2	1	2	1	2	1
0.18637	2	2	1	2	1	1	1
0.70539	2	5	4	2	4	1	4
0.10725	4	5	5	1	4	1	5
0.65889	1	4	2	2	3	2	2
0.11709	4	3	4	4	4	4	3
0.10655	3	2	2	2	3	1	1
0.83864	1	3	3	1	3	1	1
0.10809	2	3	4	1	1	1	1
0.19708	4	4	4	1	1	1	1
0.20156	3	2	6	1	1	1	1
